,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Portugal,7,,,,25,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,12,12,,,,,,,,,,,,,,,2,10,8,4,,,,,104
,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,11
,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,10
,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,4,,,,68,68,57,57,59,28,25,23,20,6,5,5,17,,8,12,10,3,,33,40,43,70,64,740
,Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,3,,,,,,6,8,4,,,,,,,,,,,,,11,,,,,,,,41
,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,5
,South Africa,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,7,14,14,,,,,,,,,,,,,,,,,,,,170
,South Korea,3,,,,,,,,,,,,,,,,4,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,3,12,12,12,9,6,6,3,,,,,,,,,80
,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,3,,9
,South Yemen,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Spain,,,,,,,,,,,,,,,,,,4,23,19,,,,,24,24,,,,15,7,,,,,,2,2,14,8,10,,,,4,4,,,2,,2,2,4,4,4,4,,,,,,,,,,,180
,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53
,Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,40,,10,,,,,,,,80
,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,,5
,Syria,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Taiwan (ROC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,33,30,,,,,,,,,,,,,,,,,,,,,,,68
,Tanzania,,,,,,,,,,,,,,,,2,20,,,,,12,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114
